Job ID,Title,Company,Work Location,Work Style,About Job,Experience required,Skills required,HR Name,HR Link,Resume,Re-posted,Date Posted,Date Applied,Job Link,External Job link,Questions Found,Connect Request
NK_1781499632,Senior Software Engineer,JustAnswer Innovations India Private Limited,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:30:32,https://www.naukri.com/job-listings-senior-software-engineer-justanswer-innovations-india-private-limited-bengaluru-5-to-10-years-110626019809,Naukri Applied,None,No
NK_1781499971,Senior Software Engineer,JustAnswer Innovations India Private Limited,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 10:36:11,https://www.naukri.com/job-listings-senior-software-engineer-justanswer-innovations-india-private-limited-bengaluru-5-to-10-years-110626019809,Naukri Applied,None,No
NK_1781516051,Java Full Stack Developer,Acesoft Labs,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:04:11,https://www.naukri.com/job-listings-java-full-stack-developer-acesoft-labs-bengaluru-6-to-11-years-220426011252,Naukri Applied,None,No
NK_1781516238,Technical Lead - Java || Remote/WFH || Contract without PF || MNC,Carnation Infotech,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:07:18,https://www.naukri.com/job-listings-technical-lead-java-remote-wfh-contract-without-pf-mnc-carnation-infotech-lucknow-8-to-13-years-150626005854,Naukri Applied,None,No
NK_1781516466,Java Developer,GForce Consulting Solutions,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:11:06,https://www.gforces.in/home,Naukri Applied,None,No
NK_1781516614,Java Developer,Ovitech Solutions,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:13:34,https://ovitechsolution.com/jobs/java-developer/,Naukri Applied,None,No
NK_1781516706,Java Developer,Crayontek,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:15:06,https://crayontek.com/career.html#meeting,Naukri Applied,None,No
NK_1781516771,Java Developer,TechKnowledgeHub.org,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:16:11,https://job.techknowledgehub.org/jobs/java-developer-wfh-remote-job/,Naukri Applied,None,No
NK_1781517235,Java Developer,Recruitly,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:23:55,https://recruitly.io/careers?id=recr3e2d077120f54e768db848e358b3d802,Naukri Applied,None,No
NK_1781517273,Java Developer with AI Focus,Verdantis,Pune,Remote,Applied via Naukri Bot Integration,4,Java Full Stack Developer,Unknown,Unknown,PAVAN_WAKADE_4+.pdf,No,2026-06-15,2026-06-15 15:24:33,https://verdantis.talismatic.com/jobs/JDEAYLRH4,Naukri Applied,None,No
