id,timestamp,platform,jobTitle,company,location,jobUrl,status,appliedAt,notes
naukri-b457701394b54d29bab9dc0937b8e57e,2026-07-26T07:59:53Z,naukri,Finacle Customization Consultant (Loans),Aarushi Infotech,Remote,https://www.naukri.com/job-listings-finacle-customization-consultant-loans-aarushi-infotech-remote-3-to-4-years-210726504496,failed,,application interaction failed: NoSuchWindowException
naukri-6fb2f31e32614e11874f5823ee07c4fd,2026-07-26T07:59:53Z,naukri,Oracle APEX Developer,Ayotta Technologies,Remote,https://www.naukri.com/job-listings-oracle-apex-developer-ayotta-technologies-pvt-ltd-remote-2-to-6-years-200726506681,failed,,application interaction failed: NoSuchWindowException
naukri-ce5ae0ad7e1146b1831259fded41894a,2026-07-26T07:59:54Z,naukri,SAP BTP Integration Developer,Technoforce It Solutions,Remote,https://www.naukri.com/job-listings-sap-btp-integration-developer-technoforce-it-solutions-pvt-ltd-remote-3-to-8-years-230726500952,failed,,application interaction failed: NoSuchWindowException
naukri-d1cd11504d454bd8bf2d99c141d0a034,2026-07-26T07:59:54Z,naukri,Flutter Full Stack Mobile Developer (FinTech),Ebizon Net Info,Remote,https://www.naukri.com/job-listings-flutter-full-stack-mobile-developer-fintech-ebizon-net-info-pvt-ltd-remote-4-to-5-years-220726500159,failed,,application interaction failed: NoSuchWindowException
naukri-44580bf56f9c43478b7f3279b21f38ff,2026-07-26T07:59:54Z,naukri,Sr. Backend Java Developer,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-sr-backend-java-developer-sigma-allied-services-private-limited-remote-4-to-9-years-210726504288,failed,,application interaction failed: NoSuchWindowException
naukri-f5d670db3c2d4dec8b72db095aaf7deb,2026-07-26T07:59:55Z,naukri,Automation QA,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-automation-qa-sigma-allied-services-private-limited-remote-3-to-5-years-210726504344,failed,,application interaction failed: NoSuchWindowException
naukri-f95e3a17bb394853833edd2771bfa241,2026-07-26T07:59:55Z,naukri,Senior Java Developer (Microservices & Azure),Zetamicron Technologies,Remote,https://www.naukri.com/job-listings-senior-java-developer-microservices-azure-zetamicron-technologies-private-limited-remote-7-to-9-years-240726506123,failed,,application interaction failed: NoSuchWindowException
naukri-03e3df36fa8f44da82319759d0161518,2026-07-26T07:59:55Z,naukri,Tibco Developer,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-tibco-developer-sigma-allied-services-private-limited-remote-5-to-8-years-210726504064,failed,,application interaction failed: NoSuchWindowException
naukri-fad2e6c466944175826dd3539f052274,2026-07-26T07:59:55Z,naukri,Java Angular Developer,Workiy Technologies,Remote,https://www.naukri.com/job-listings-java-angular-developer-workiy-inc-remote-8-to-13-years-220726500318,failed,,application interaction failed: NoSuchWindowException
naukri-1703b2cc538b464eafc5ca12300a67e0,2026-07-26T07:59:56Z,naukri,Nodejs developer,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-nodejs-developer-sigma-allied-services-private-limited-remote-7-to-12-years-210726504078,failed,,application interaction failed: NoSuchWindowException
naukri-295108d70329477583b537f04873d5fe,2026-07-26T07:59:56Z,naukri,Calypso Developer,Orbion Infotech,Remote,https://www.naukri.com/job-listings-calypso-developer-orbion-infotech-remote-5-to-7-years-210726504338,failed,,application interaction failed: NoSuchWindowException
naukri-250de399e2b34d68a3dccbb8710f9945,2026-07-26T07:59:56Z,naukri,Full Stack Developer,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-full-stack-developer-sigma-allied-services-private-limited-remote-7-to-12-years-210726504106,failed,,application interaction failed: NoSuchWindowException
naukri-03c4e7bc785f4a84a6892ec50746b083,2026-07-26T07:59:57Z,naukri,Intellect AI - Java Integration Professional,Exavalu,Remote,https://www.naukri.com/job-listings-intellect-ai-java-integration-professional-exavalu-remote-6-to-10-years-210726504408,failed,,application interaction failed: NoSuchWindowException
naukri-ece5629975094d8484ee38088921dd74,2026-07-26T07:59:57Z,naukri,Senior Developer - OMS,Tidal Commerce,Remote,https://www.naukri.com/job-listings-senior-developer-oms-tidal-commerce-remote-6-to-11-years-230726500907,failed,,application interaction failed: NoSuchWindowException
naukri-cb54d92a37c14f32ac909ad8172098d7,2026-07-26T07:59:57Z,naukri,Security Engineer and AWS DevOps engineer,Sigma Allied Services,Remote,https://www.naukri.com/job-listings-security-engineer-and-aws-devops-engineer-sigma-allied-services-private-limited-remote-8-to-13-years-210726504104,failed,,application interaction failed: NoSuchWindowException
